Features;NSHAP-Value
hyperlipidemia:No,endstage:55.00.renal.disease,cancer:No;False
hyperlipidemia:No,chronic.kidney.disease:No,asthma:No;-0.0001
hyperlipidemia:No,chronic.kidney.disease:No,copd:No;-0.0001
hyperlipidemia:No,chronic.kidney.disease:No,dementia:No;-0.0002
hyperlipidemia:No,chronic.kidney.disease:No,cancer:No;-0.0002
hyperlipidemia:No,asthma:No,copd:No;-0.0005
hyperlipidemia:No,asthma:No,dementia:No;False
hyperlipidemia:No,asthma:No,cancer:No;False
hyperlipidemia:No,copd:No,dementia:No;False
hyperlipidemia:No,copd:No,cancer:No;0.0007
hyperlipidemia:No,dementia:No,cancer:No;-0.0002
diabetes:Yes,coronary.artery.disease:No,chf:No;-0.0061
diabetes:Yes,coronary.artery.disease:No,cerebrovascular.disease:No;-0.0001
diabetes:Yes,coronary.artery.disease:No,hepatitis:No;False
diabetes:Yes,coronary.artery.disease:No,endstage:55.00.renal.disease;0.0007
diabetes:Yes,coronary.artery.disease:No,chronic.kidney.disease:No;0.0007
diabetes:Yes,coronary.artery.disease:No,asthma:No;0.0008
diabetes:Yes,coronary.artery.disease:No,copd:No;-0.0012
diabetes:Yes,coronary.artery.disease:No,dementia:No;-0.0021
diabetes:Yes,coronary.artery.disease:No,cancer:No;-0.002
diabetes:Yes,chf:No,cerebrovascular.disease:No;-0.0003
diabetes:Yes,chf:No,hepatitis:No;False
diabetes:Yes,chf:No,endstage:55.00.renal.disease;0.0006
diabetes:Yes,chf:No,chronic.kidney.disease:No;0.0003
diabetes:Yes,chf:No,asthma:No;0.0003
diabetes:Yes,chf:No,copd:No;-0.0001
diabetes:Yes,chf:No,dementia:No;0.0003
diabetes:Yes,chf:No,cancer:No;-0.0008
diabetes:Yes,cerebrovascular.disease:No,hepatitis:No;-0.0001
diabetes:Yes,cerebrovascular.disease:No,endstage:55.00.renal.disease;-0.0001
diabetes:Yes,cerebrovascular.disease:No,chronic.kidney.disease:No;0.0001
diabetes:Yes,cerebrovascular.disease:No,asthma:No;-0.0001
diabetes:Yes,cerebrovascular.disease:No,copd:No;-0.0002
diabetes:Yes,cerebrovascular.disease:No,dementia:No;0.0003
diabetes:Yes,cerebrovascular.disease:No,cancer:No;-0.0001
diabetes:Yes,hepatitis:No,endstage:55.00.renal.disease;0.0003
diabetes:Yes,hepatitis:No,chronic.kidney.disease:No;-0.0001
diabetes:Yes,hepatitis:No,asthma:No;False
diabetes:Yes,hepatitis:No,copd:No;False
diabetes:Yes,hepatitis:No,dementia:No;False
diabetes:Yes,hepatitis:No,cancer:No;-0.0001
diabetes:Yes,endstage:55.00.renal.disease,chronic.kidney.disease:No;-0.0001
diabetes:Yes,endstage:55.00.renal.disease,asthma:No;False
diabetes:Yes,endstage:55.00.renal.disease,copd:No;False
diabetes:Yes,endstage:55.00.renal.disease,dementia:No;False
diabetes:Yes,endstage:55.00.renal.disease,cancer:No;False
diabetes:Yes,chronic.kidney.disease:No,asthma:No;False
diabetes:Yes,chronic.kidney.disease:No,copd:No;-0.0001
diabetes:Yes,chronic.kidney.disease:No,dementia:No;0.0002
diabetes:Yes,chronic.kidney.disease:No,cancer:No;0.0002
diabetes:Yes,asthma:No,copd:No;-0.0006
diabetes:Yes,asthma:No,dementia:No;-0.0003
diabetes:Yes,asthma:No,cancer:No;False
diabetes:Yes,copd:No,dementia:No;False
diabetes:Yes,copd:No,cancer:No;0.0005
diabetes:Yes,dementia:No,cancer:No;0.0002
coronary.artery.disease:No,chf:No,cerebrovascular.disease:No;False
coronary.artery.disease:No,chf:No,hepatitis:No;False
coronary.artery.disease:No,chf:No,endstage:55.00.renal.disease;0.0001
coronary.artery.disease:No,chf:No,chronic.kidney.disease:No;0.0004
coronary.artery.disease:No,chf:No,asthma:No;-0.0003
coronary.artery.disease:No,chf:No,copd:No;0.0007
coronary.artery.disease:No,chf:No,dementia:No;-0.0023
coronary.artery.disease:No,chf:No,cancer:No;False
coronary.artery.disease:No,cerebrovascular.disease:No,hepatitis:No;False
coronary.artery.disease:No,cerebrovascular.disease:No,endstage:55.00.renal.disease;-0.0003
coronary.artery.disease:No,cerebrovascular.disease:No,chronic.kidney.disease:No;0.0001
coronary.artery.disease:No,cerebrovascular.disease:No,asthma:No;-0.0002
coronary.artery.disease:No,cerebrovascular.disease:No,copd:No;False
coronary.artery.disease:No,cerebrovascular.disease:No,dementia:No;0.0002
coronary.artery.disease:No,cerebrovascular.disease:No,cancer:No;-0.0002
coronary.artery.disease:No,hepatitis:No,endstage:55.00.renal.disease;-0.0001
coronary.artery.disease:No,hepatitis:No,chronic.kidney.disease:No;False
coronary.artery.disease:No,hepatitis:No,asthma:No;False
coronary.artery.disease:No,hepatitis:No,copd:No;False
coronary.artery.disease:No,hepatitis:No,dementia:No;False
coronary.artery.disease:No,hepatitis:No,cancer:No;-0.0001
coronary.artery.disease:No,endstage:55.00.renal.disease,chronic.kidney.disease:No;-0.0002
coronary.artery.disease:No,endstage:55.00.renal.disease,asthma:No;False
coronary.artery.disease:No,endstage:55.00.renal.disease,copd:No;0.0001
coronary.artery.disease:No,endstage:55.00.renal.disease,dementia:No;0.0001
coronary.artery.disease:No,endstage:55.00.renal.disease,cancer:No;False
coronary.artery.disease:No,chronic.kidney.disease:No,asthma:No;0.0004
coronary.artery.disease:No,chronic.kidney.disease:No,copd:No;False
coronary.artery.disease:No,chronic.kidney.disease:No,dementia:No;False
coronary.artery.disease:No,chronic.kidney.disease:No,cancer:No;0.0003
coronary.artery.disease:No,asthma:No,copd:No;-0.001
coronary.artery.disease:No,asthma:No,dementia:No;False
coronary.artery.disease:No,asthma:No,cancer:No;0.0001
coronary.artery.disease:No,copd:No,dementia:No;False
coronary.artery.disease:No,copd:No,cancer:No;0.0003
coronary.artery.disease:No,dementia:No,cancer:No;-0.0003
chf:No,cerebrovascular.disease:No,hepatitis:No;False
chf:No,cerebrovascular.disease:No,endstage:55.00.renal.disease;0.0001
chf:No,cerebrovascular.disease:No,chronic.kidney.disease:No;-0.0001
chf:No,cerebrovascular.disease:No,asthma:No;-0.0001
chf:No,cerebrovascular.disease:No,copd:No;0.0001
chf:No,cerebrovascular.disease:No,dementia:No;-0.0001
chf:No,cerebrovascular.disease:No,cancer:No;-0.0001
chf:No,hepatitis:No,endstage:55.00.renal.disease;False
chf:No,hepatitis:No,chronic.kidney.disease:No;-0.0001
chf:No,hepatitis:No,asthma:No;False
chf:No,hepatitis:No,copd:No;False
chf:No,hepatitis:No,dementia:No;False
chf:No,hepatitis:No,cancer:No;False
chf:No,endstage:55.00.renal.disease,chronic.kidney.disease:No;-0.0004
chf:No,endstage:55.00.renal.disease,asthma:No;False
chf:No,endstage:55.00.renal.disease,copd:No;0.0001
chf:No,endstage:55.00.renal.disease,dementia:No;False
chf:No,endstage:55.00.renal.disease,cancer:No;False
chf:No,chronic.kidney.disease:No,asthma:No;0.0002
chf:No,chronic.kidney.disease:No,copd:No;-0.0001
chf:No,chronic.kidney.disease:No,dementia:No;-0.0001
chf:No,chronic.kidney.disease:No,cancer:No;-0.0003
chf:No,asthma:No,copd:No;0.0004
chf:No,asthma:No,dementia:No;False
chf:No,asthma:No,cancer:No;-0.0001
chf:No,copd:No,dementia:No;-0.0001
chf:No,copd:No,cancer:No;-0.0002
chf:No,dementia:No,cancer:No;-0.0005
cerebrovascular.disease:No,hepatitis:No,endstage:55.00.renal.disease;False
cerebrovascular.disease:No,hepatitis:No,chronic.kidney.disease:No;False
cerebrovascular.disease:No,hepatitis:No,asthma:No;False
cerebrovascular.disease:No,hepatitis:No,copd:No;False
cerebrovascular.disease:No,hepatitis:No,dementia:No;False
cerebrovascular.disease:No,hepatitis:No,cancer:No;False
cerebrovascular.disease:No,endstage:55.00.renal.disease,chronic.kidney.disease:No;0.0001
cerebrovascular.disease:No,endstage:55.00.renal.disease,asthma:No;False
cerebrovascular.disease:No,endstage:55.00.renal.disease,copd:No;False
cerebrovascular.disease:No,endstage:55.00.renal.disease,dementia:No;False
cerebrovascular.disease:No,endstage:55.00.renal.disease,cancer:No;False
cerebrovascular.disease:No,chronic.kidney.disease:No,asthma:No;False
cerebrovascular.disease:No,chronic.kidney.disease:No,copd:No;False
cerebrovascular.disease:No,chronic.kidney.disease:No,dementia:No;False
cerebrovascular.disease:No,chronic.kidney.disease:No,cancer:No;False
cerebrovascular.disease:No,asthma:No,copd:No;False
cerebrovascular.disease:No,asthma:No,dementia:No;False
cerebrovascular.disease:No,asthma:No,cancer:No;False
cerebrovascular.disease:No,copd:No,dementia:No;False
cerebrovascular.disease:No,copd:No,cancer:No;False
cerebrovascular.disease:No,dementia:No,cancer:No;0.0002
hepatitis:No,endstage:55.00.renal.disease,chronic.kidney.disease:No;False
hepatitis:No,endstage:55.00.renal.disease,asthma:No;False
hepatitis:No,endstage:55.00.renal.disease,copd:No;False
hepatitis:No,endstage:55.00.renal.disease,dementia:No;False
hepatitis:No,endstage:55.00.renal.disease,cancer:No;False
hepatitis:No,chronic.kidney.disease:No,asthma:No;False
hepatitis:No,chronic.kidney.disease:No,copd:No;False
hepatitis:No,chronic.kidney.disease:No,dementia:No;False
hepatitis:No,chronic.kidney.disease:No,cancer:No;False
hepatitis:No,asthma:No,copd:No;False
hepatitis:No,asthma:No,dementia:No;False
hepatitis:No,asthma:No,cancer:No;False
hepatitis:No,copd:No,dementia:No;False
hepatitis:No,copd:No,cancer:No;False
hepatitis:No,dementia:No,cancer:No;False
endstage:55.00.renal.disease,chronic.kidney.disease:No,asthma:No;False
endstage:55.00.renal.disease,chronic.kidney.disease:No,copd:No;False
endstage:55.00.renal.disease,chronic.kidney.disease:No,dementia:No;0.0002
endstage:55.00.renal.disease,chronic.kidney.disease:No,cancer:No;False
endstage:55.00.renal.disease,asthma:No,copd:No;False
endstage:55.00.renal.disease,asthma:No,dementia:No;False
endstage:55.00.renal.disease,asthma:No,cancer:No;False
endstage:55.00.renal.disease,copd:No,dementia:No;False
endstage:55.00.renal.disease,copd:No,cancer:No;False
endstage:55.00.renal.disease,dementia:No,cancer:No;False
chronic.kidney.disease:No,asthma:No,copd:No;0.0003
chronic.kidney.disease:No,asthma:No,dementia:No;-0.0001
chronic.kidney.disease:No,asthma:No,cancer:No;-0.0001
chronic.kidney.disease:No,copd:No,dementia:No;False
chronic.kidney.disease:No,copd:No,cancer:No;False
chronic.kidney.disease:No,dementia:No,cancer:No;False
asthma:No,copd:No,dementia:No;-0.0001
asthma:No,copd:No,cancer:No;0.0001
asthma:No,dementia:No,cancer:No;False
copd:No,dementia:No,cancer:No;False
age:55.00,race:black,sex:male,hypertension:Yes;0.0074
age:55.00,race:black,sex:male,hyperlipidemia:No;-0.0076
age:55.00,race:black,sex:male,diabetes:Yes;0.0128
age:55.00,race:black,sex:male,coronary.artery.disease:No;-0.0099
age:55.00,race:black,sex:male,chf:No;-0.0139
age:55.00,race:black,sex:male,cerebrovascular.disease:No;0.004
age:55.00,race:black,sex:male,hepatitis:No;0.0001
age:55.00,race:black,sex:male,endstage:55.00.renal.disease;-0.0011
age:55.00,race:black,sex:male,chronic.kidney.disease:No;0.001
age:55.00,race:black,sex:male,asthma:No;0.0011
age:55.00,race:black,sex:male,copd:No;-0.0003
age:55.00,race:black,sex:male,dementia:No;-0.0004
age:55.00,race:black,sex:male,cancer:No;0.0015
age:55.00,race:black,hypertension:Yes,hyperlipidemia:No;0.0034
age:55.00,race:black,hypertension:Yes,diabetes:Yes;-0.0896
age:55.00,race:black,hypertension:Yes,coronary.artery.disease:No;0.0234
age:55.00,race:black,hypertension:Yes,chf:No;0.0041
age:55.00,race:black,hypertension:Yes,cerebrovascular.disease:No;-0.0002
age:55.00,race:black,hypertension:Yes,hepatitis:No;0.0009
age:55.00,race:black,hypertension:Yes,endstage:55.00.renal.disease;0.0005
age:55.00,race:black,hypertension:Yes,chronic.kidney.disease:No;0.0004
age:55.00,race:black,hypertension:Yes,asthma:No;0.001
age:55.00,race:black,hypertension:Yes,copd:No;0.0015
age:55.00,race:black,hypertension:Yes,dementia:No;0.0019
age:55.00,race:black,hypertension:Yes,cancer:No;0.0018
age:55.00,race:black,hyperlipidemia:No,diabetes:Yes;-0.0032
age:55.00,race:black,hyperlipidemia:No,coronary.artery.disease:No;-0.0086
age:55.00,race:black,hyperlipidemia:No,chf:No;0.0074
age:55.00,race:black,hyperlipidemia:No,cerebrovascular.disease:No;-0.0007
age:55.00,race:black,hyperlipidemia:No,hepatitis:No;-0.0001
age:55.00,race:black,hyperlipidemia:No,endstage:55.00.renal.disease;-0.0004
age:55.00,race:black,hyperlipidemia:No,chronic.kidney.disease:No;-0.0002
age:55.00,race:black,hyperlipidemia:No,asthma:No;-0.0001
age:55.00,race:black,hyperlipidemia:No,copd:No;-0.0003
age:55.00,race:black,hyperlipidemia:No,dementia:No;0.0013
age:55.00,race:black,hyperlipidemia:No,cancer:No;0.0013
age:55.00,race:black,diabetes:Yes,coronary.artery.disease:No;0.0417
age:55.00,race:black,diabetes:Yes,chf:No;0.0008
age:55.00,race:black,diabetes:Yes,cerebrovascular.disease:No;-0.0007
age:55.00,race:black,diabetes:Yes,hepatitis:No;0.0006
age:55.00,race:black,diabetes:Yes,endstage:55.00.renal.disease;0.0015
age:55.00,race:black,diabetes:Yes,chronic.kidney.disease:No;-0.0001
age:55.00,race:black,diabetes:Yes,asthma:No;0.0007
age:55.00,race:black,diabetes:Yes,copd:No;0.0014
age:55.00,race:black,diabetes:Yes,dementia:No;-0.0003
age:55.00,race:black,diabetes:Yes,cancer:No;0.0034
age:55.00,race:black,coronary.artery.disease:No,chf:No;0.0054
age:55.00,race:black,coronary.artery.disease:No,cerebrovascular.disease:No;0.0025
age:55.00,race:black,coronary.artery.disease:No,hepatitis:No;0.0001
age:55.00,race:black,coronary.artery.disease:No,endstage:55.00.renal.disease;-0.0009
age:55.00,race:black,coronary.artery.disease:No,chronic.kidney.disease:No;0.0016
age:55.00,race:black,coronary.artery.disease:No,asthma:No;0.0012
age:55.00,race:black,coronary.artery.disease:No,copd:No;0.0021
age:55.00,race:black,coronary.artery.disease:No,dementia:No;0.0015
age:55.00,race:black,coronary.artery.disease:No,cancer:No;0.0009
age:55.00,race:black,chf:No,cerebrovascular.disease:No;-0.0003
age:55.00,race:black,chf:No,hepatitis:No;-0.0001
age:55.00,race:black,chf:No,endstage:55.00.renal.disease;-0.0005
age:55.00,race:black,chf:No,chronic.kidney.disease:No;0.0001
age:55.00,race:black,chf:No,asthma:No;-0.0006
age:55.00,race:black,chf:No,copd:No;False
age:55.00,race:black,chf:No,dementia:No;-0.0007
age:55.00,race:black,chf:No,cancer:No;-0.0003
age:55.00,race:black,cerebrovascular.disease:No,hepatitis:No;False
age:55.00,race:black,cerebrovascular.disease:No,endstage:55.00.renal.disease;-0.0001
age:55.00,race:black,cerebrovascular.disease:No,chronic.kidney.disease:No;-0.0001
age:55.00,race:black,cerebrovascular.disease:No,asthma:No;False
age:55.00,race:black,cerebrovascular.disease:No,copd:No;-0.0002
age:55.00,race:black,cerebrovascular.disease:No,dementia:No;False
age:55.00,race:black,cerebrovascular.disease:No,cancer:No;-0.0001
age:55.00,race:black,hepatitis:No,endstage:55.00.renal.disease;0.0001
age:55.00,race:black,hepatitis:No,chronic.kidney.disease:No;False
age:55.00,race:black,hepatitis:No,asthma:No;-0.0001
age:55.00,race:black,hepatitis:No,copd:No;False
age:55.00,race:black,hepatitis:No,dementia:No;-0.0001
age:55.00,race:black,hepatitis:No,cancer:No;-0.0002
age:55.00,race:black,endstage:55.00.renal.disease,chronic.kidney.disease:No;-0.0002
age:55.00,race:black,endstage:55.00.renal.disease,asthma:No;-0.0001
age:55.00,race:black,endstage:55.00.renal.disease,copd:No;0.0001
age:55.00,race:black,endstage:55.00.renal.disease,dementia:No;False
age:55.00,race:black,endstage:55.00.renal.disease,cancer:No;False
age:55.00,race:black,chronic.kidney.disease:No,asthma:No;-0.0002
age:55.00,race:black,chronic.kidney.disease:No,copd:No;-0.0003
age:55.00,race:black,chronic.kidney.disease:No,dementia:No;-0.0003
age:55.00,race:black,chronic.kidney.disease:No,cancer:No;-0.0002
age:55.00,race:black,asthma:No,copd:No;-0.0007
age:55.00,race:black,asthma:No,dementia:No;-0.0001
age:55.00,race:black,asthma:No,cancer:No;-0.0001
age:55.00,race:black,copd:No,dementia:No;False
age:55.00,race:black,copd:No,cancer:No;-0.0004
age:55.00,race:black,dementia:No,cancer:No;-0.0003
age:55.00,sex:male,hypertension:Yes,hyperlipidemia:No;-0.0002
age:55.00,sex:male,hypertension:Yes,diabetes:Yes;0.0007
age:55.00,sex:male,hypertension:Yes,coronary.artery.disease:No;0.0062
age:55.00,sex:male,hypertension:Yes,chf:No;-0.0019
age:55.00,sex:male,hypertension:Yes,cerebrovascular.disease:No;-0.0012
age:55.00,sex:male,hypertension:Yes,hepatitis:No;0.0001
age:55.00,sex:male,hypertension:Yes,endstage:55.00.renal.disease;0.0002
age:55.00,sex:male,hypertension:Yes,chronic.kidney.disease:No;False
age:55.00,sex:male,hypertension:Yes,asthma:No;0.0005
age:55.00,sex:male,hypertension:Yes,copd:No;0.0005
age:55.00,sex:male,hypertension:Yes,dementia:No;0.0003
age:55.00,sex:male,hypertension:Yes,cancer:No;-0.0013
age:55.00,sex:male,hyperlipidemia:No,diabetes:Yes;-0.0037
age:55.00,sex:male,hyperlipidemia:No,coronary.artery.disease:No;0.0104
age:55.00,sex:male,hyperlipidemia:No,chf:No;-0.0063
age:55.00,sex:male,hyperlipidemia:No,cerebrovascular.disease:No;0.0007
age:55.00,sex:male,hyperlipidemia:No,hepatitis:No;False
age:55.00,sex:male,hyperlipidemia:No,endstage:55.00.renal.disease;-0.0005
age:55.00,sex:male,hyperlipidemia:No,chronic.kidney.disease:No;0.0015
age:55.00,sex:male,hyperlipidemia:No,asthma:No;0.0009
age:55.00,sex:male,hyperlipidemia:No,copd:No;0.0001
age:55.00,sex:male,hyperlipidemia:No,dementia:No;-0.0004
age:55.00,sex:male,hyperlipidemia:No,cancer:No;0.0011
age:55.00,sex:male,diabetes:Yes,coronary.artery.disease:No;0.0113
age:55.00,sex:male,diabetes:Yes,chf:No;-0.0029
age:55.00,sex:male,diabetes:Yes,cerebrovascular.disease:No;0.0002
age:55.00,sex:male,diabetes:Yes,hepatitis:No;0.0001
age:55.00,sex:male,diabetes:Yes,endstage:55.00.renal.disease;0.0028
age:55.00,sex:male,diabetes:Yes,chronic.kidney.disease:No;0.0004
age:55.00,sex:male,diabetes:Yes,asthma:No;0.0009
age:55.00,sex:male,diabetes:Yes,copd:No;0.0017
age:55.00,sex:male,diabetes:Yes,dementia:No;0.014
age:55.00,sex:male,diabetes:Yes,cancer:No;0.0023
age:55.00,sex:male,coronary.artery.disease:No,chf:No;-0.0055
age:55.00,sex:male,coronary.artery.disease:No,cerebrovascular.disease:No;0.0009
age:55.00,sex:male,coronary.artery.disease:No,hepatitis:No;False
age:55.00,sex:male,coronary.artery.disease:No,endstage:55.00.renal.disease;0.0014
age:55.00,sex:male,coronary.artery.disease:No,chronic.kidney.disease:No;0.0008
age:55.00,sex:male,coronary.artery.disease:No,asthma:No;-0.0014
age:55.00,sex:male,coronary.artery.disease:No,copd:No;0.0002
age:55.00,sex:male,coronary.artery.disease:No,dementia:No;-0.0005
age:55.00,sex:male,coronary.artery.disease:No,cancer:No;-0.0007
age:55.00,sex:male,chf:No,cerebrovascular.disease:No;-0.0008
age:55.00,sex:male,chf:No,hepatitis:No;-0.0003
age:55.00,sex:male,chf:No,endstage:55.00.renal.disease;0.0006
age:55.00,sex:male,chf:No,chronic.kidney.disease:No;-0.0004
age:55.00,sex:male,chf:No,asthma:No;-0.0023
age:55.00,sex:male,chf:No,copd:No;-0.0002
age:55.00,sex:male,chf:No,dementia:No;-0.001
age:55.00,sex:male,chf:No,cancer:No;-0.001
age:55.00,sex:male,cerebrovascular.disease:No,hepatitis:No;False
age:55.00,sex:male,cerebrovascular.disease:No,endstage:55.00.renal.disease;0.0001
age:55.00,sex:male,cerebrovascular.disease:No,chronic.kidney.disease:No;0.0001
age:55.00,sex:male,cerebrovascular.disease:No,asthma:No;False
age:55.00,sex:male,cerebrovascular.disease:No,copd:No;0.0003
age:55.00,sex:male,cerebrovascular.disease:No,dementia:No;-0.0002
age:55.00,sex:male,cerebrovascular.disease:No,cancer:No;0.0001
age:55.00,sex:male,hepatitis:No,endstage:55.00.renal.disease;False
age:55.00,sex:male,hepatitis:No,chronic.kidney.disease:No;0.0001
age:55.00,sex:male,hepatitis:No,asthma:No;-0.0001
age:55.00,sex:male,hepatitis:No,copd:No;False
age:55.00,sex:male,hepatitis:No,dementia:No;False
age:55.00,sex:male,hepatitis:No,cancer:No;-0.0001
age:55.00,sex:male,endstage:55.00.renal.disease,chronic.kidney.disease:No;0.0007
age:55.00,sex:male,endstage:55.00.renal.disease,asthma:No;0.0002
age:55.00,sex:male,endstage:55.00.renal.disease,copd:No;False
age:55.00,sex:male,endstage:55.00.renal.disease,dementia:No;False
age:55.00,sex:male,endstage:55.00.renal.disease,cancer:No;0.0001
age:55.00,sex:male,chronic.kidney.disease:No,asthma:No;-0.0001
age:55.00,sex:male,chronic.kidney.disease:No,copd:No;False
age:55.00,sex:male,chronic.kidney.disease:No,dementia:No;0.0001
age:55.00,sex:male,chronic.kidney.disease:No,cancer:No;-0.0001
age:55.00,sex:male,asthma:No,copd:No;0.0009
age:55.00,sex:male,asthma:No,dementia:No;-0.0001
age:55.00,sex:male,asthma:No,cancer:No;-0.0001
age:55.00,sex:male,copd:No,dementia:No;-0.0004
age:55.00,sex:male,copd:No,cancer:No;-0.0005
age:55.00,sex:male,dementia:No,cancer:No;-0.0005
age:55.00,hypertension:Yes,hyperlipidemia:No,diabetes:Yes;-0.0038
age:55.00,hypertension:Yes,hyperlipidemia:No,coronary.artery.disease:No;0.0017
age:55.00,hypertension:Yes,hyperlipidemia:No,chf:No;0.0008
age:55.00,hypertension:Yes,hyperlipidemia:No,cerebrovascular.disease:No;0.0002
age:55.00,hypertension:Yes,hyperlipidemia:No,hepatitis:No;False
age:55.00,hypertension:Yes,hyperlipidemia:No,endstage:55.00.renal.disease;False
age:55.00,hypertension:Yes,hyperlipidemia:No,chronic.kidney.disease:No;0.0005
age:55.00,hypertension:Yes,hyperlipidemia:No,asthma:No;False
age:55.00,hypertension:Yes,hyperlipidemia:No,copd:No;False
age:55.00,hypertension:Yes,hyperlipidemia:No,dementia:No;0.0002
age:55.00,hypertension:Yes,hyperlipidemia:No,cancer:No;0.0001
age:55.00,hypertension:Yes,diabetes:Yes,coronary.artery.disease:No;-0.0267
age:55.00,hypertension:Yes,diabetes:Yes,chf:No;-0.0003
age:55.00,hypertension:Yes,diabetes:Yes,cerebrovascular.disease:No;-0.0024
age:55.00,hypertension:Yes,diabetes:Yes,hepatitis:No;-0.0007
age:55.00,hypertension:Yes,diabetes:Yes,endstage:55.00.renal.disease;-0.0022
age:55.00,hypertension:Yes,diabetes:Yes,chronic.kidney.disease:No;-0.0004
age:55.00,hypertension:Yes,diabetes:Yes,asthma:No;-0.0042
age:55.00,hypertension:Yes,diabetes:Yes,copd:No;-0.0002
age:55.00,hypertension:Yes,diabetes:Yes,dementia:No;0.0003
age:55.00,hypertension:Yes,diabetes:Yes,cancer:No;-0.0043
age:55.00,hypertension:Yes,coronary.artery.disease:No,chf:No;0.0038
age:55.00,hypertension:Yes,coronary.artery.disease:No,cerebrovascular.disease:No;0.0004
age:55.00,hypertension:Yes,coronary.artery.disease:No,hepatitis:No;0.0001
age:55.00,hypertension:Yes,coronary.artery.disease:No,endstage:55.00.renal.disease;0.0003
age:55.00,hypertension:Yes,coronary.artery.disease:No,chronic.kidney.disease:No;-0.0005
age:55.00,hypertension:Yes,coronary.artery.disease:No,asthma:No;0.0002
age:55.00,hypertension:Yes,coronary.artery.disease:No,copd:No;0.0002
age:55.00,hypertension:Yes,coronary.artery.disease:No,dementia:No;0.0012
age:55.00,hypertension:Yes,coronary.artery.disease:No,cancer:No;0.0006
age:55.00,hypertension:Yes,chf:No,cerebrovascular.disease:No;False
age:55.00,hypertension:Yes,chf:No,hepatitis:No;False
age:55.00,hypertension:Yes,chf:No,endstage:55.00.renal.disease;0.0003
age:55.00,hypertension:Yes,chf:No,chronic.kidney.disease:No;0.0005
age:55.00,hypertension:Yes,chf:No,asthma:No;0.0001
age:55.00,hypertension:Yes,chf:No,copd:No;0.0004
age:55.00,hypertension:Yes,chf:No,dementia:No;0.0008
age:55.00,hypertension:Yes,chf:No,cancer:No;0.0001
age:55.00,hypertension:Yes,cerebrovascular.disease:No,hepatitis:No;0.0001
age:55.00,hypertension:Yes,cerebrovascular.disease:No,endstage:55.00.renal.disease;False
age:55.00,hypertension:Yes,cerebrovascular.disease:No,chronic.kidney.disease:No;False
age:55.00,hypertension:Yes,cerebrovascular.disease:No,asthma:No;False
age:55.00,hypertension:Yes,cerebrovascular.disease:No,copd:No;False
age:55.00,hypertension:Yes,cerebrovascular.disease:No,dementia:No;0.0001
age:55.00,hypertension:Yes,cerebrovascular.disease:No,cancer:No;False
age:55.00,hypertension:Yes,hepatitis:No,endstage:55.00.renal.disease;False
age:55.00,hypertension:Yes,hepatitis:No,chronic.kidney.disease:No;False
age:55.00,hypertension:Yes,hepatitis:No,asthma:No;False
age:55.00,hypertension:Yes,hepatitis:No,copd:No;False
age:55.00,hypertension:Yes,hepatitis:No,dementia:No;False
age:55.00,hypertension:Yes,hepatitis:No,cancer:No;False
age:55.00,hypertension:Yes,endstage:55.00.renal.disease,chronic.kidney.disease:No;0.0002
age:55.00,hypertension:Yes,endstage:55.00.renal.disease,asthma:No;False
age:55.00,hypertension:Yes,endstage:55.00.renal.disease,copd:No;False
age:55.00,hypertension:Yes,endstage:55.00.renal.disease,dementia:No;False
age:55.00,hypertension:Yes,endstage:55.00.renal.disease,cancer:No;0.0002
age:55.00,hypertension:Yes,chronic.kidney.disease:No,asthma:No;False
age:55.00,hypertension:Yes,chronic.kidney.disease:No,copd:No;False
age:55.00,hypertension:Yes,chronic.kidney.disease:No,dementia:No;False
age:55.00,hypertension:Yes,chronic.kidney.disease:No,cancer:No;False
age:55.00,hypertension:Yes,asthma:No,copd:No;0.0002
age:55.00,hypertension:Yes,asthma:No,dementia:No;False
age:55.00,hypertension:Yes,asthma:No,cancer:No;False
age:55.00,hypertension:Yes,copd:No,dementia:No;0.0001
age:55.00,hypertension:Yes,copd:No,cancer:No;-0.0002
age:55.00,hypertension:Yes,dementia:No,cancer:No;0.0001
age:55.00,hyperlipidemia:No,diabetes:Yes,coronary.artery.disease:No;-0.0157
age:55.00,hyperlipidemia:No,diabetes:Yes,chf:No;-0.0085
age:55.00,hyperlipidemia:No,diabetes:Yes,cerebrovascular.disease:No;-0.0019
age:55.00,hyperlipidemia:No,diabetes:Yes,hepatitis:No;-0.0002
age:55.00,hyperlipidemia:No,diabetes:Yes,endstage:55.00.renal.disease;0.0004
age:55.00,hyperlipidemia:No,diabetes:Yes,chronic.kidney.disease:No;False
age:55.00,hyperlipidemia:No,diabetes:Yes,asthma:No;-0.0009
age:55.00,hyperlipidemia:No,diabetes:Yes,copd:No;-0.0014
age:55.00,hyperlipidemia:No,diabetes:Yes,dementia:No;-0.0019
age:55.00,hyperlipidemia:No,diabetes:Yes,cancer:No;-0.0012
age:55.00,hyperlipidemia:No,coronary.artery.disease:No,chf:No;-0.0068
age:55.00,hyperlipidemia:No,coronary.artery.disease:No,cerebrovascular.disease:No;False
age:55.00,hyperlipidemia:No,coronary.artery.disease:No,hepatitis:No;0.0002
age:55.00,hyperlipidemia:No,coronary.artery.disease:No,endstage:55.00.renal.disease;0.0013
